id_flat,year,month,water_status,heat_status
1853_9,2025,12,58.519,3.939
1853_10,2025,12,68.216,3.745
1854_1,2025,12,,2.875
1854_2,2025,12,69.398,5.8
1854_3,2025,12,102.543,5.638
1854_4,2025,12,117.96,7.666
1854_5,2025,12,31.658,0.057
1854_6,2025,12,6.73,14.895
1854_7,2025,12,34.229,4.367
1854_8,2025,12,24.471,6.421
1854_9,2025,12,82.638,12.707
1854_10,2025,12,97.755,0.057
1855_1,2025,12,,11.974
1855_2,2025,12,121.09,16.076
1855_3,2025,12,99.779,2.694
1855_4,2025,12,59.595,1.848
1855_5,2025,12,8.852,7.002
1855_6,2025,12,55.108,5.722
1855_7,2025,12,97.731,6.144
1855_8,2025,12,16.783,3.876
1855_9,2025,12,41.571,6.076
1855_10,2025,12,65.319,8.764
1856_1,2025,12,,13.94
1856_2,2025,12,42.305,5.919
1856_3,2025,12,11.413,3.323
1856_4,2025,12,25.652,11.144
1856_5,2025,12,30.146,7.65
1856_6,2025,12,11.288,5.737
1856_7,2025,12,20.805,7.46
1856_8,2025,12,20.965,11.898
1856_9,2025,12,20.019,7.552
1856_10,2025,12,21.071,6.269
1857_1,2025,12,,5.177
1857_2,2025,12,100.145,4.156
1857_3,2025,12,30.457,18.53
1857_4,2025,12,94.093,5.397
1857_5,2025,12,23.329,11.214
1857_6,2025,12,42.301,4.969
1857_7,2025,12,51.493,16.535
1857_8,2025,12,100.364,9.169
1857_9,2025,12,50.76,3.294
1857_10,2025,12,31.083,12.857
